,ANN_DT,REPORT_PERIOD,IFLISTED_DATA,OPER_REV,NET_PROFIT_INCL_MIN_INT_INC,NET_PROFIT_EXCL_MIN_INT_INC,TOT_SHRHLDR_EQY_EXCL_MIN_INT,TOT_SHRHLDR_EQY_INCL_MIN_INT,S_INFO_COMPNAME,S_INFO_COMPCODE,OPDATE,OPMODE,code
0,20141015,20140930,1,588451900.0,244897100.0,244897100.0,13213493654.9,13213493654.9,长江证券股份有限公司,1000783,2015-09-16 17:42:39,0,000783.SZ
1,20141014,20140930,1,276710800.0,140167200.0,140167200.0,5073248866.81,5073248866.81,西部证券股份有限公司,502030478,2015-09-16 17:43:33,0,002673.SZ
4,20141107,20141031,1,1203830000.0,529200000.0,529200000.0,76061700000.0,76061700000.0,中信证券股份有限公司,08D39EC855,2015-09-16 17:43:42,0,600030.SH
6,20141107,20141031,1,100383200.0,39931500.0,39931500.0,7147221800.0,7147221800.0,山西证券股份有限公司,2002097,2015-09-16 17:43:16,0,002500.SZ
7,20141205,20141130,1,347256500.0,125181000.0,125181000.0,13719808500.0,13719808500.0,东吴证券股份有限公司,2024609,2015-09-16 17:43:55,0,601555.SH
8,20141205,20141130,1,780341258.28,285627378.32,285627378.32,35025821535.2,35025821535.2,华泰证券股份有限公司,2002077,2015-09-16 17:42:38,0,601688.SH
10,20150110,20141231,1,474040000.0,180050000.0,180050000.0,8459960452.85,8459960452.85,东北证券股份有限公司,1000686,2015-09-16 17:43:57,0,000686.SZ
11,20150112,20141231,1,2393617000.0,1225887700.0,1225887700.0,31687350765.4,31687350765.4,国信证券股份有限公司,2002075,2015-09-16 17:42:43,0,002736.SZ
12,20150306,20150228,1,167331767.91,57819546.98,57819546.98,6737080294.18,6737080294.18,国海证券股份有限公司,1000750,2015-09-16 17:42:54,0,000750.SZ
14,20150112,20141231,1,1887026233.92,906073981.75,906073981.75,37668386434.5,37668386434.5,广发证券股份有限公司,1000776,2015-09-16 17:42:27,0,000776.SZ
18,20150306,20150228,1,357275900.0,169277600.0,169277600.0,14242082600.0,14242082600.0,长江证券股份有限公司,1000783,2015-09-16 17:43:46,0,000783.SZ
19,20150109,20141231,1,410523100.0,59541100.0,59541100.0,5368466856.76,5368466856.76,西部证券股份有限公司,502030478,2015-09-16 17:43:33,0,002673.SZ
22,20100710,20100630,1,366240956.59,198061138.73,198061138.73,,,广发证券股份有限公司,1000776,2015-09-16 17:43:02,0,000776.SZ
23,20110412,20110331,1,156920000.0,60040000.0,60040000.0,3512092838.87,3512092838.87,东北证券股份有限公司,1000686,2015-09-16 17:43:09,0,000686.SZ
24,20110113,20101231,1,522556539.63,120595606.68,120595606.68,29997599929.6,29997599929.6,华泰证券股份有限公司,2002077,2015-09-16 17:43:29,0,601688.SH
29,20100907,20100831,1,118594100.0,12904900.0,12904900.0,2921038800.0,2921038800.0,国金证券股份有限公司,1600109,2015-09-16 17:44:01,0,600109.SH
30,20110214,20110131,1,43461000.0,4155200.0,4155200.0,6201309200.0,6201309200.0,山西证券股份有限公司,2002097,2015-09-16 17:42:58,0,002500.SZ
31,20110214,20110131,1,46770000.0,-23690000.0,-23690000.0,3408870000.0,3408870000.0,东北证券股份有限公司,1000686,2015-09-16 17:42:41,0,000686.SZ
32,20101105,20101031,1,245210000.0,131860000.0,131860000.0,14881720000.0,14881720000.0,国元证券股份有限公司,1000728,2015-09-16 17:42:28,0,000728.SZ
34,20101207,20101130,1,144074700.0,56533000.0,56533000.0,3032733000.0,3032733000.0,国金证券股份有限公司,1600109,2015-09-16 17:42:21,0,600109.SH
35,20101207,20101130,1,676979089.92,321819967.24,321819967.24,23161300449.4,23161300449.4,招商证券股份有限公司,2024359,2015-09-16 17:44:07,0,600999.SH
36,20110305,20110228,1,601444300.0,282342300.0,282342300.0,44537673800.0,44537673800.0,海通证券股份有限公司,1600837,2015-09-16 17:43:27,0,600837.SH
37,20110112,20101231,1,3216265503.95,1584351348.66,1584351348.66,19006057117.1,19006057117.1,广发证券股份有限公司,1000776,2015-09-16 17:43:23,0,000776.SZ
39,20110112,20101231,1,93837400.0,-10966400.0,-10966400.0,3018050140.07,3018050140.07,国金证券股份有限公司,1600109,2015-09-16 17:44:03,0,600109.SH
40,20110112,20101231,1,139660000.0,4530000.0,4530000.0,3453249829.08,3453249829.08,东北证券股份有限公司,1000686,2015-09-16 17:42:58,0,000686.SZ
41,20110409,20110331,1,504441400.0,241954100.0,241954100.0,22855111806.0,22855111806.0,光大证券股份有限公司,0yJ94AEF7F,2015-09-16 17:42:55,0,601788.SH
42,20110412,20110331,1,976200000.0,514330000.0,514330000.0,62515716405.9,62515716405.9,中信证券股份有限公司,08D39EC855,2015-09-16 17:42:37,0,600030.SH
43,20110413,20110331,1,708438914.39,278449531.01,278449531.01,19591070902.9,19591070902.9,广发证券股份有限公司,1000776,2015-09-16 17:42:50,0,000776.SZ
44,20110608,20110531,1,64259900.0,2751700.0,2751700.0,2068912100.0,2068912100.0,太平洋证券股份有限公司,04955EEF73,2015-09-16 17:43:42,0,601099.SH
46,20110608,20110531,1,380679956.35,148498709.97,148498709.97,18710736821.4,18710736821.4,广发证券股份有限公司,1000776,2015-09-16 17:43:33,0,000776.SZ
47,20110609,20110531,1,72677400.0,11316100.0,11316100.0,11480099200.0,11480099200.0,长江证券股份有限公司,1000783,2015-09-16 17:42:53,0,000783.SZ
48,20110608,20110531,1,-91888200.0,-111571500.0,-111571500.0,11340205400.0,11340205400.0,西南证券股份有限公司,1600369,2015-09-16 17:44:01,0,600369.SH
49,20110805,20110731,1,979090000.0,746290000.0,746290000.0,58789110000.0,58789110000.0,中信证券股份有限公司,08D39EC855,2015-09-16 17:42:36,0,600030.SH
53,20110507,20110430,1,1470470000.0,991010000.0,991010000.0,57880680000.0,57880680000.0,中信证券股份有限公司,08D39EC855,2015-09-16 17:43:04,0,600030.SH
54,20110712,20110630,1,315832295.21,126055793.33,126055793.33,30024012609.2,30024012609.2,华泰证券股份有限公司,2002077,2015-09-16 17:43:30,0,601688.SH
55,20110709,20110630,1,166763945.43,46647505.86,46647505.86,8177672956.47,8177672956.47,兴业证券股份有限公司,2023060,2015-09-16 17:43:03,0,601377.SH
56,20110908,20110831,1,57392700.0,3820700.0,3820700.0,3263635200.0,3263635200.0,国金证券股份有限公司,1600109,2015-09-16 17:43:52,0,600109.SH
57,20111014,20110930,1,36599600.0,-72003300.0,-72003300.0,14229420602.9,14229420602.9,方正证券股份有限公司,2002179,2015-09-16 17:43:40,0,601901.SH
58,20110806,20110731,1,145365800.0,41315700.0,41315700.0,11492151700.0,11492151700.0,长江证券股份有限公司,1000783,2015-09-16 17:43:07,0,000783.SZ
60,20110808,20110731,1,23658200.0,60268300.0,60268300.0,11123424300.0,11123424300.0,西南证券股份有限公司,1600369,2015-09-16 17:42:45,0,600369.SH
61,20110907,20110831,1,354782020.16,73911880.09,73911880.09,31151033890.3,31151033890.3,广发证券股份有限公司,1000776,2015-09-16 17:43:30,0,000776.SZ
63,20111105,20111031,1,45801200.0,26457000.0,26457000.0,2107415900.0,2107415900.0,太平洋证券股份有限公司,04955EEF73,2015-09-16 17:43:04,0,601099.SH
64,20120407,20120331,1,82220000.0,18980000.0,18980000.0,3101856725.7,3101856725.7,东北证券股份有限公司,1000686,2015-09-16 17:43:48,0,000686.SZ
67,20120208,20120131,1,159091200.0,63935100.0,63935100.0,9980850900.0,9980850900.0,西南证券股份有限公司,1600369,2015-09-16 17:43:51,0,600369.SH
68,20111208,20111130,1,114310000.0,22131300.0,22131300.0,11394442400.0,11394442400.0,长江证券股份有限公司,1000783,2015-09-16 17:43:43,0,000783.SZ
71,20111207,20111130,1,111460000.0,33620000.0,33620000.0,14757470000.0,14757470000.0,国元证券股份有限公司,1000728,2015-09-16 17:43:48,0,000728.SZ
72,20111207,20111130,1,94400514.64,16986065.28,16986065.28,2576038224.91,2576038224.91,国海证券股份有限公司,1000750,2015-09-16 17:44:01,0,000750.SZ
74,20111207,20111130,1,117219000.0,29301000.0,29301000.0,14248648700.0,14248648700.0,方正证券股份有限公司,2002179,2015-09-16 17:43:20,0,601901.SH
76,20120207,20120131,1,53881000.0,7367900.0,7367900.0,3250787300.0,3250787300.0,国金证券股份有限公司,1600109,2015-09-16 17:42:33,0,600109.SH
77,20120113,20111231,1,381828755.05,125540797.7,125540797.7,29973672561.7,29973672561.7,华泰证券股份有限公司,2002077,2015-09-16 17:43:36,0,601688.SH
78,20120207,20120131,1,158147700.0,58419400.0,58419400.0,11398244200.0,11398244200.0,长江证券股份有限公司,1000783,2015-09-16 17:42:50,0,000783.SZ
80,20120307,20120229,1,121460000.0,55100000.0,55100000.0,3077030000.0,3077030000.0,东北证券股份有限公司,1000686,2015-09-16 17:42:21,0,000686.SZ
81,20120307,20120229,1,723982885.39,319734342.6,319734342.6,31657724951.9,31657724951.9,广发证券股份有限公司,1000776,2015-09-16 17:43:36,0,000776.SZ
82,20120112,20111231,1,39760600.0,-38035700.0,-38035700.0,7369971606.28,7369971606.28,东吴证券股份有限公司,2024609,2015-09-16 17:43:25,0,601555.SH
83,20120412,20120331,1,518226275.55,205771637.95,205771637.95,30477783219.5,30477783219.5,华泰证券股份有限公司,2002077,2015-09-16 17:43:55,0,601688.SH
85,20120808,20120731,1,205656199.61,27103850.04,27103850.04,30042391193.8,30042391193.8,华泰证券股份有限公司,2002077,2015-09-16 17:43:26,0,601688.SH
86,20120808,20120731,1,160349900.0,40102500.0,40102500.0,21185483800.0,21185483800.0,光大证券股份有限公司,0yJ94AEF7F,2015-09-16 17:43:08,0,601788.SH
87,20120707,20120630,1,301706400.0,220905500.0,220905500.0,21372507796.4,21372507796.4,光大证券股份有限公司,0yJ94AEF7F,2015-09-16 17:44:00,0,601788.SH
88,20120607,20120531,1,142571000.0,42996500.0,42996500.0,3373847100.0,3373847100.0,国金证券股份有限公司,1600109,2015-09-16 17:42:34,0,600109.SH
