,trade_day
0,20050104
1,20050105
2,20050106
3,20050107
4,20050110
5,20050111
6,20050112
7,20050113
8,20050114
9,20050117
10,20050118
11,20050119
12,20050120
13,20050121
14,20050124
15,20050125
16,20050126
17,20050127
18,20050128
19,20050131
20,20050201
21,20050202
22,20050203
23,20050204
24,20050216
25,20050217
26,20050218
27,20050221
28,20050222
29,20050223
30,20050224
31,20050225
32,20050228
33,20050301
34,20050302
35,20050303
36,20050304
37,20050307
38,20050308
39,20050309
40,20050310
41,20050311
42,20050314
43,20050315
44,20050316
45,20050317
46,20050318
47,20050321
48,20050322
49,20050323
50,20050324
51,20050325
52,20050328
53,20050329
54,20050330
55,20050331
56,20050401
57,20050404
58,20050405
59,20050406
60,20050407
61,20050408
62,20050411
63,20050412
64,20050413
65,20050414
66,20050415
67,20050418
68,20050419
69,20050420
70,20050421
71,20050422
72,20050425
73,20050426
74,20050427
75,20050428
76,20050429
77,20050509
78,20050510
79,20050511
80,20050512
81,20050513
82,20050516
83,20050517
84,20050518
85,20050519
86,20050520
87,20050523
88,20050524
89,20050525
90,20050526
91,20050527
92,20050530
93,20050531
94,20050601
95,20050602
96,20050603
97,20050606
98,20050607
99,20050608
100,20050609
101,20050610
102,20050613
103,20050614
104,20050615
105,20050616
106,20050617
107,20050620
108,20050621
109,20050622
110,20050623
111,20050624
112,20050627
113,20050628
114,20050629
115,20050630
116,20050701
117,20050704
118,20050705
119,20050706
120,20050707
121,20050708
122,20050711
123,20050712
124,20050713
125,20050714
126,20050715
127,20050718
128,20050719
129,20050720
130,20050721
131,20050722
132,20050725
133,20050726
134,20050727
135,20050728
136,20050729
137,20050801
138,20050802
139,20050803
140,20050804
141,20050805
142,20050808
143,20050809
144,20050810
145,20050811
146,20050812
147,20050815
148,20050816
149,20050817
150,20050818
151,20050819
152,20050822
153,20050823
154,20050824
155,20050825
156,20050826
157,20050829
158,20050830
159,20050831
160,20050901
161,20050902
162,20050905
163,20050906
164,20050907
165,20050908
166,20050909
167,20050912
168,20050913
